country;population;area;density_pop;coastline;migration;Infant_mortality;gdp;literacy;phones;arable;crops;other;climate;birthrate;death rate;agriculture;industry;service;happiness_score;gdp_h;social_support;health;freedom;generosity;government_trust;dystopia_residual;continent
Croatia ;4494749;56542;79.5;10.32;1.58;6.84;10600;98.5;420.4;26.09;2.27;71.65;;9.61;11.48;0.07;308;622;5.504700184;1.109024286;1.311264873;0.900575578;0.3814568820000001;0.113998979;0.012325006;1.676029205;Europe
Cyprus ;784301;9250;84.8;7.01;0.43;7.18;19200;97.6;;7.79;4.44;87.77;3;12.56;7.68;37;198;765;6.15899992;1.21279943;1.149170756;1.026124597;0.459385872;0.227932334;0.051207144;2.032334805;Asia
Czech Republic ;10235455;78866;129.8;0.00;0.97;3.93;15700;99.9;314.3;39.8;3.05;57.15;3;9.02;10.59;34;393;573;6.9109001160000005;1.212322354;1.40528667;0.89456445;0.505744576;0.046325929;0.049803223;2.796808243;Europe
Denmark ;5450661;43094;126.5;16.97;2.48;4.56;31100;100.0;614.6;54.02;0.19;45.79;3;11.13;10.36;18;246;735;7.645599842;1.326948524;1.503449202;0.979332566;0.665039897;0.242793396;0.495260328;2.432740688;Europe
Dominican Republic ;9183984;48730;188.5;2.64;-3.22;32.38;6000;84.7;97.4;22.65;10.33;67.02;2;23.22;5.73;112;306;582;5.689199924;0.983191848;1.328888893;0.7419016959999999;0.5628739;0.112196781;0.115945682;1.844246864;South America
Ecuador ;13547510;283560;47.8;0.79;-8.58;23.66;3300;92.5;125.6;5.85;4.93;89.22;2;22.29;4.23;0.07;312;618;5.925199986;0.853383601;1.221027613;0.838837743;0.555234551;0.115006477;0.086753383;2.254933834;South America
Egypt ;78887007;1001450;78.8;0.24;-0.22;32.59;4000;57.7;131.8;2.87;0.48;96.65;1;22.94;5.23;149;357;493;4.151400089;0.8752289409999999;0.982539535;0.596911311;0.373684734;0.068801254;0.095461793;1.158818245;Africa
El Salvador ;6822378;21040;324.3;1.46;-3.74;25.1;4800;80.2;142.4;31.85;12.07;56.08;2;26.61;5.78;99;302;599;6.34829998;0.748940408;1.149397612;0.752730012;0.5240439179999999;0.1189363;0.117030352;2.937191725;South America
Estonia ;1324333;45226;29.3;8.39;-3.16;7.87;12300;99.8;333.8;16.04;0.45;83.51;3;10.04;13.25;0.04;294;666;6.0218000410000005;1.192441225;1.453232527;0.842615008;0.576664805;0.12513674800000002;0.201766819;1.629928112;Europe
Ethiopia ;74777981;1127127;66.3;0.00;0;95.32;700;42.7;8.2;10.71;0.75;88.54;2;37.98;14.86;475;99;426;4.186200142;0.315125644;1.001103282;0.483846247;0.41256687;0.227698103;0.117437035;1.628459215;Africa
Finland ;5231372;338145;15.5;0.37;0.95;3.57;27400;100.0;405.3;7.19;0.03;92.78;3;10.45;9.86;28;295;676;7.808700085;1.285189509;1.499525905;0.961271405;0.66231674;0.159670442;0.477857262;2.7628350260000003;Europe
France ;60876136;547030;111.3;0.63;0.66;4.26;27600;99.0;586.4;33.53;2.07;64.4;4;11.99;9.14;22;214;764;6.663799762999999;1.268129349;1.458839178;1.029714227;0.5140509010000001;0.112607703;0.227303237;2.053198338;Europe
Gabon ;1424906;267667;5.3;0.33;0;53.64;5500;63.2;27.4;1.26;0.66;98.08;2;36.16;12.25;61;592;348;4.829299927;0.988044381;1.10639751;0.522574842;0.369459897;0.052013602;0.055804539000000014;1.7350275519999998;Africa
Georgia ;4661473;69700;66.9;0.44;-4.7;18.59;2500;99.0;146.6;11.44;3.86;84.7;3;10.41;9.23;172;275;553;4.672599792;0.847198069;0.7311939000000001;0.6946576240000001;0.485494107;0.047609735;0.174088076;1.69239831;Asia
